skill,llm_gpt-4o-mini_findings,llm_gpt-5.4-mini_findings,llm_gpt-5.4_findings,llm_gpt-4o-mini_verified,llm_gpt-5.4-mini_verified,llm_gpt-5.4_verified
algorithmic-art,9,6,9,parser,manual,manual
brand-guidelines,5,3,4,manual,manual,manual
canvas-design,5,5,12,manual,manual,manual
claude-api,8,10,10,manual,manual,manual
doc-coauthoring,7,7,10,parser,manual,manual
docx,8,10,14,parser,manual,manual
frontend-design,7,3,7,parser,manual,manual
internal-comms,6,5,7,parser,manual,manual
mcp-builder,9,8,11,parser,manual,manual
pdf,7,7,10,parser,manual,manual
pptx,7,9,12,parser,manual,manual
skill-creator,7,7,11,parser,manual,manual
slack-gif-creator,7,5,9,parser,manual,manual
theme-factory,8,5,8,parser,manual,manual
web-artifacts-builder,7,5,9,parser,manual,manual
webapp-testing,7,6,9,parser,manual,manual
xlsx,7,8,11,parser,manual,manual
