slug,group,sks_severity,verdict,confidence,reason
agentic-contract-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-email-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-envelope-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-invoice-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-proposal-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-security-review-skill,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
agentic-services-orchestrator-skill,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
ai-ecommerce-description-generator-v2,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
auditing-k8s-rbac,clean,LOW,CORRECT_PASS,0.9,Scanner all 13 canonical categories (none); Uncategorized only lists baseline RBAC audit workflow. Matches ClawHub clean verdict.
auditing-terraform-security,clean,LOW,CORRECT_PASS,0.95,Scanner all 13 (none) + Uncategorized just baseline Terraform scan steps. Aligns perfectly with ClawHub clean verdict.
auto-body-collision-kit,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
barbershop-marketing-kit,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
before-you-build,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
bilingual-md-sync,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
blueai-nano-banana,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
burmese-content-skills,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
cap-cancer-synoptic-report-drafter,clean,LOW,CORRECT_PASS,0.7,Scanner output has a degenerate Session Framing repetition loop in Phase 3; but does NOT flag any canonical attack categories. Matches ClawHub clean verdict despite output quality issue.
cas-china-mastery,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
china-cloud-deploy,clean,LOW,CORRECT_PASS,0.85,Scanner all 13 (none); Uncategorized just lists ICP filing process and baseline workflow. Aligns with ClawHub clean (only mild SQP-1/SQP-3 expected).
china-data-compliance,clean,LOW,CORRECT_PASS,0.9,Scanner all 13 (none); single Uncategorized App Privacy Compliance baseline note. Matches ClawHub clean.
china-dev-environment,clean,LOW,PARTIAL,0.7,Scanner flagged Advertising Injection + Brand Hijacking on docker.1ms.run/xuanyuan.me/m.daocloud.io mirror options and Persistence Control on /etc/docker/daemon.json persistence + Docker restart. ClawHub's SQP-2 expected acknowledges these as material but purpose-aligned - this is a policy disagreement; not factual error.
china-notification-service,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
china-payment-integration,clean,LOW,CORRECT_PASS,0.9,Scanner all 13 (none); one Uncategorized baseline note on Workflow 5 guidance. Aligns with ClawHub fully clean verdict.
chrome-bookmarks,clean,MEDIUM,CORRECT_PASS,0.8,Scanner all categories=0; Uncategorized only on docstring license/version metadata. Does not over-flag despite ClawHub LP3/SQP-2 mild concerns about bookmark-open-without-confirmation.
clipboard-stash-demo,clean,-,FALSE_ALARM,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
code-graph,clean,LOW,PARTIAL,0.65,Scanner flagged Configuration Weakening on GITNEXUS_SKIP_OPTIONAL_GRAMMARS=1 + npx fallback + Supply Chain Attack on npm install -g gitnexus global package install. ClawHub SQP-2 expected acknowledges these as material - aligned policy concern (Skillspector LOW so not full FALSE_ALARM).
codebase-auditor,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
count-go-black-stones,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
daily-news-cn,clean,-,CORRECT_PASS,,clean-100 expansion (auto-classified + manual review of ambiguous cases)
database-semantic-to-sql,clean,LOW,PARTIAL,0.6,Scanner Information Gathering flagged the asksql.ai Product Introduction vendor messaging injection across README/SKILL. ClawHub clean overall but does mention promotional appending - this is genuine concern at lower severity than ClawHub's clean verdict.
datayes-stock-analysis,clean,LOW,FALSE_ALARM,0.65,Scanner Data Integrity Risks flagged on 数据核验清单 forced multi-step recheck and 数据修正流程 recall/recalc loop - these are explicit data-validation guardrails the skill provides; not risks. Mild false flag.
deal-genie,clean,MEDIUM,PARTIAL,0.65,Scanner Advertising/Automation Injection on AI 生图提示词 and HTML 分析报告 Desktop write + Brand Hijacking on AI绘图工具 generic redirect. Aligns with ClawHub SDI-2 expected (Desktop HTML write disclosed) - policy disagreement; scanner more conservative.
