detector,oracle,inject_det,inject_n,inject_rate_pct,skill_det,skill_n,skill_rate_pct
llmguard,gpt-4o-mini,1,49,2.04,19,49,38.78
llmguard,gpt-5.4-mini,0,63,0.00,29,63,46.03
llmguard,gpt-5.4,3,76,3.95,34,76,44.74
piguard,gpt-4o-mini,19,49,38.78,33,49,67.35
piguard,gpt-5.4-mini,3,63,4.76,41,63,65.08
piguard,gpt-5.4,13,76,17.11,49,76,64.47
datasentinel,gpt-4o-mini,2,49,4.08,40,49,81.63
datasentinel,gpt-5.4-mini,7,63,11.11,50,63,79.37
datasentinel,gpt-5.4,8,76,10.53,58,76,76.32

detector,fpr_split,fpr_det,fpr_n,fpr_rate_pct,,,
llmguard,baseline,1,17,5.88,,,
llmguard,baseline_full,8,17,47.06,,,
piguard,baseline,6,17,35.29,,,
piguard,baseline_full,11,17,64.71,,,
datasentinel,baseline,9,17,52.94,,,
datasentinel,baseline_full,14,17,82.35,,,
