skill,llm_gpt-4o-mini_finding_count,llm_gpt-4o-mini_global_items,llm_gpt-4o-mini_report_chars,llm_gpt-4o-mini_section_items,llm_gpt-4o-mini_verdict,llm_gpt-5.4-mini_finding_count,llm_gpt-5.4-mini_global_items,llm_gpt-5.4-mini_report_chars,llm_gpt-5.4-mini_section_items,llm_gpt-5.4-mini_verdict,llm_gpt-5.4_finding_count,llm_gpt-5.4_global_items,llm_gpt-5.4_report_chars,llm_gpt-5.4_section_items,llm_gpt-5.4_verdict,snyk_high,snyk_low,snyk_medium,ss_critical,ss_files_scanned,ss_info,ss_total,ss_warning
algorithmic-art,9,9,4868,9,,6,6,6862,6,medium,9,9,17727,0,high,1,0,0,1,3,0,5,4
brand-guidelines,2,2,4830,2,,8,8,5602,8,medium,4,4,7574,4,low,0,0,0,0,2,0,0,0
canvas-design,3,3,6439,3,,5,5,8102,5,high,12,12,17212,12,,0,0,0,0,29,0,0,0
claude-api,8,8,6510,8,,10,10,13126,10,high,0,0,15917,0,high,2,0,0,190,26,0,190,0
doc-coauthoring,7,7,5212,7,,7,7,9740,7,low,10,10,11659,8,moderate,0,0,0,0,1,0,0,0
docx,8,8,5867,8,,10,10,13456,10,,14,14,20588,14,,0,0,0,5,17,0,16,11
frontend-design,7,7,4752,7,,3,3,5736,3,,7,7,10556,7,moderate,0,0,0,0,2,0,0,0
internal-comms,6,6,5138,6,,5,5,7947,5,moderate,0,0,18094,0,,0,0,0,0,6,0,0,0
mcp-builder,9,9,5638,9,,8,8,12608,8,,11,11,18453,11,,2,0,0,28,9,0,28,0
pdf,7,7,6766,7,,22,22,13703,1,,10,10,20023,10,,1,0,0,10,12,0,10,0
pptx,7,7,6013,7,,9,9,13294,9,,12,12,22148,12,,0,0,0,4,20,0,12,8
skill-creator,7,7,5693,7,,7,7,9708,7,moderate,5,5,24162,5,,0,0,0,35,16,0,35,0
slack-gif-creator,7,7,5719,7,,5,5,10325,5,,0,0,13644,0,,0,0,0,0,7,0,0,0
theme-factory,8,8,5151,8,,5,5,8436,5,moderate,8,8,9711,8,medium,0,0,0,0,12,0,0,0
web-artifacts-builder,7,7,6092,7,,6,6,11769,6,high,0,0,16016,0,,0,0,0,1,4,0,3,2
webapp-testing,7,7,4784,7,,6,6,9051,6,high,0,0,13944,0,,0,0,0,0,6,0,0,0
xlsx,7,7,5811,7,,8,8,15093,8,,11,11,23637,11,,0,0,0,4,15,0,10,6
