slug,owner_id,clawhub_url,pools,version,display_name,api_url,license,downloads,stars,published_at_ms,summary
agentic-case-study-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-case-study-skill,clean_175;clean_pool,1.0.3,,https://clawhub.ai/api/v1/skills/agentic-case-study-skill/versions/1.0.3,,,,1779801158008,
agentic-contract-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-contract-skill,clean_175;clean_pool,1.0.9,Agentic Contract Skill,https://clawhub.ai/api/v1/skills/agentic-contract-skill/versions/1.0.9,,56,0,1779826736872,"Generate configurable CompleteTech LLC Agentic Development Services Agreement PDFs with optional cover page, letterhead, header, footer, watermark, filled Ma..."
agentic-delivery-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-delivery-skill,clean_175;clean_pool,1.0.9,,https://clawhub.ai/api/v1/skills/agentic-delivery-skill/versions/1.0.9,,,,1779835727997,
agentic-discovery-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-discovery-skill,clean_175;clean_pool,1.0.3,,https://clawhub.ai/api/v1/skills/agentic-discovery-skill/versions/1.0.3,,,,1779791528660,
agentic-envelope-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-envelope-skill,clean_175;clean_pool,1.0.3,,https://clawhub.ai/api/v1/skills/agentic-envelope-skill/versions/1.0.3,,,,1779801501703,
agentic-proposal-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-proposal-skill,clean_175;clean_pool,1.0.2,,https://clawhub.ai/api/v1/skills/agentic-proposal-skill/versions/1.0.2,,,,1779790412591,
agentic-research-harness,kn75mmeqmz6rt3hwpt8qy83cj1858fnw,https://clawhub.ai/skills/agentic-research-harness,clean_175;clean_pool,1.3.0,,https://clawhub.ai/api/v1/skills/agentic-research-harness/versions/1.3.0,,,,1779789927361,
agentic-security-review-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-security-review-skill,clean_175;clean_pool,1.0.2,,https://clawhub.ai/api/v1/skills/agentic-security-review-skill/versions/1.0.2,,,,1779790213742,
agentic-services-orchestrator-skill,kn7ehj6z0wqts287dw3xpve45s87are9,https://clawhub.ai/skills/agentic-services-orchestrator-skill,clean_175;clean_pool,1.0.3,,https://clawhub.ai/api/v1/skills/agentic-services-orchestrator-skill/versions/1.0.3,,,,1779834456447,
ai-ecommerce-description-generator-v2,kn78r4sn0arj035mvghw8v9h4587d6jr,https://clawhub.ai/skills/ai-ecommerce-description-generator-v2,clean_175;clean_pool,2.0.0,,https://clawhub.ai/api/v1/skills/ai-ecommerce-description-generator-v2/versions/2.0.0,,,,1779726611665,
ai-tts-copy-correction,kn75fjq09p9g38y4xdga98xvw9835s9v,https://clawhub.ai/skills/ai-tts-copy-correction,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ai-tts-copy-correction/versions/1.0.0,,,,1779711203206,
ai-writing-risk-review,kn77452razee70yn4t2cc5fk7n82msmh,https://clawhub.ai/skills/ai-writing-risk-review,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ai-writing-risk-review/versions/1.0.0,,,,1779762166686,
alibabacloud-terraform-import,kn74p5w8ywv6prh40g0s82gmqh83nw54,https://clawhub.ai/skills/alibabacloud-terraform-import,clean_175;clean_pool,0.0.1-beta.1,,https://clawhub.ai/api/v1/skills/alibabacloud-terraform-import/versions/0.0.1-beta.1,,,,1779761159600,
alta-nsps-table-a-scope-memo,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/alta-nsps-table-a-scope-memo,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/alta-nsps-table-a-scope-memo/versions/0.1.0,,,,1779842969573,
ambient-awareness,kn71s58rp4be8gs83pn66ddj6n81axez,https://clawhub.ai/skills/ambient-awareness,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/ambient-awareness/versions/1.0.0,,,,1779795836839,
article-image-research,kn77452razee70yn4t2cc5fk7n82msmh,https://clawhub.ai/skills/article-image-research,clean_175;clean_pool,1.0.0,,https://clawhub.ai/api/v1/skills/article-image-research/versions/1.0.0,,,,1779762173692,
ashrae-211-level-2-audit-report,kn798vfcxrgjdt230v34k8eqf584vpwv,https://clawhub.ai/skills/ashrae-211-level-2-audit-report,clean_175;clean_pool,0.1.0,,https://clawhub.ai/api/v1/skills/ashrae-211-level-2-audit-report/versions/0.1.0,,,,1779771276395,
