slug,owner_id,clawhub_url,pools,version,display_name,api_url,license,downloads,stars,published_at_ms,summary
admapix,s17485bhjxmrt6atmnk22z55ex83gb56,https://clawhub.ai/fly0pants/skills/admapix,train_community,1.0.30,AdMapix,https://clawhub.ai/api/v1/skills/admapix/versions/1.0.30,MIT-0,133382,296,1781852959124,"AdMapix raw data layer for ad creatives, apps, rankings, downloads/revenue, and market metadata. Returns structured JSON from the AdMapix API; the calling ag..."
agent-browser-clawdbot,s17e24j3hd5g35an84aqwke9px88507e,https://clawhub.ai/matrixy/skills/agent-browser-clawdbot,train_community,0.1.0,Agent Browser,https://clawhub.ai/api/v1/skills/agent-browser-clawdbot/versions/0.1.0,,156086,459,1769032854381,Headless browser automation CLI optimized for AI agents with accessibility tree snapshots and ref-based element selection
agent-phone-call,s17ec19772rzjfe224dx6fmq6984382p,https://clawhub.ai/mrsz/skills/agent-phone-call,train_community,1.0.5,Agent Phone Call,https://clawhub.ai/api/v1/skills/agent-phone-call/versions/1.0.5,MIT-0,74991,18,1776332821052,"Agent Phone Call gives every AI agent a phone number and the ability to get things done over the phone — finding contacts, making calls, and completing tasks..."
api-gateway,s174c3s2kc1ehqj1ytzntezj2983e2aj,https://clawhub.ai/byungkyu/skills/api-gateway,train_community,1.2.19,API Gateway,https://clawhub.ai/api/v1/skills/api-gateway/versions/1.2.19,MIT-0,86691,394,1789370268005,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected.
Use this skill when the user names a connected app and a concrete action in it - read a mailbox, query a CRM, file an issue, update a spreadsheet, etc."
apple-notes,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/apple-notes,train_community,1.0.0,Apple Notes,https://clawhub.ai/api/v1/skills/apple-notes/versions/1.0.0,,37596,59,1767545294031,"Manage Apple Notes via the `memo` CLI on macOS (create, view, edit, delete, search, move, and export notes). Use when a user asks Clawdbot to add a note, list notes, search notes, or manage note folders."
auto-updater,s1740pg32fs80mb8tbqpjvk7e9884d0r,https://clawhub.ai/maximeprades/skills/auto-updater,train_community,1.0.0,Auto-Updater Skill,https://clawhub.ai/api/v1/skills/auto-updater/versions/1.0.0,,99494,446,1768323539453,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed."
automation-workflows,s172spfmwsf80c1ymt8rffcz9h83gbzb,https://clawhub.ai/jk-0001/skills/automation-workflows,train_community,0.1.0,Automation Workflows,https://clawhub.ai/api/v1/skills/automation-workflows/versions/0.1.0,,82858,315,1770341582349,"Design and implement automation workflows to save time and scale operations as a solopreneur. Use when identifying repetitive tasks to automate, building workflows across tools, setting up triggers and actions, or optimizing existing automations. Covers automation opportunity identification, workflow design, tool selection (Zapier, Make, n8n), testing, and maintenance. Trigger on ""automate"", ""automation"", ""workflow automation"", ""save time"", ""reduce manual work"", ""automate my business"", ""no-code automation""."
baidu-search,s17a4y7rpj2bmp94zpqe8r915h83gq6d,https://clawhub.ai/ide-rea/skills/baidu-search,train_community,1.1.4,Baidu web search,https://clawhub.ai/api/v1/skills/baidu-search/versions/1.1.4,MIT-0,92573,219,1776338831266,"Search the web using Baidu AI Search Engine (BDSE). Use for live information, documentation, or research topics."
blogwatcher,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/blogwatcher,train_community,1.0.0,Blogwatcher,https://clawhub.ai/api/v1/skills/blogwatcher/versions/1.0.0,,44516,75,1767545299849,Monitor blogs and RSS/Atom feeds for updates using the blogwatcher CLI.
brave-search,s179zksw999xz8ms4cy7pb2fr183m5jq,https://clawhub.ai/steipete/skills/brave-search,train_community,1.0.1,Brave Search,https://clawhub.ai/api/v1/skills/brave-search/versions/1.0.1,,61588,192,1767651953714,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required."
