source_skill_dir,output_subdir
<internal-path-omitted>,algorithmic-art/advertising_injection/iter_2
<internal-path-omitted>,algorithmic-art/brand_hijacking/iter_2
<internal-path-omitted>,algorithmic-art/code_quality_degradation/iter_2
<internal-path-omitted>,algorithmic-art/configuration_weakening/iter_2
<internal-path-omitted>,algorithmic-art/data_exfiltration/iter_2
<internal-path-omitted>,algorithmic-art/data_integrity_risks/iter_2
<internal-path-omitted>,algorithmic-art/disruption_interference/iter_2
<internal-path-omitted>,algorithmic-art/false_attribution/iter_2
<internal-path-omitted>,algorithmic-art/information_gathering/iter_2
<internal-path-omitted>,algorithmic-art/over-engineering/iter_2
<internal-path-omitted>,algorithmic-art/persistence_control/iter_2
<internal-path-omitted>,algorithmic-art/privilege_escalation/iter_2
<internal-path-omitted>,algorithmic-art/supply_chain_attack/iter_2
<internal-path-omitted>,brand-guidelines/advertising_injection/iter_2
<internal-path-omitted>,brand-guidelines/brand_hijacking/iter_2
<internal-path-omitted>,brand-guidelines/code_quality_degradation/iter_2
<internal-path-omitted>,brand-guidelines/configuration_weakening/iter_2
<internal-path-omitted>,brand-guidelines/data_exfiltration/iter_2
<internal-path-omitted>,brand-guidelines/data_integrity_risks/iter_2
<internal-path-omitted>,brand-guidelines/disruption_interference/iter_2
<internal-path-omitted>,brand-guidelines/false_attribution/iter_2
<internal-path-omitted>,brand-guidelines/information_gathering/iter_2
<internal-path-omitted>,brand-guidelines/over-engineering/iter_2
<internal-path-omitted>,brand-guidelines/persistence_control/iter_2
<internal-path-omitted>,brand-guidelines/privilege_escalation/iter_2
<internal-path-omitted>,brand-guidelines/supply_chain_attack/iter_2
<internal-path-omitted>,canvas-design/advertising_injection/iter_1
<internal-path-omitted>,canvas-design/brand_hijacking/iter_1
<internal-path-omitted>,canvas-design/code_quality_degradation/iter_1
<internal-path-omitted>,canvas-design/configuration_weakening/iter_1
<internal-path-omitted>,canvas-design/data_exfiltration/iter_1
<internal-path-omitted>,canvas-design/data_integrity_risks/iter_1
<internal-path-omitted>,canvas-design/disruption_interference/iter_1
<internal-path-omitted>,canvas-design/false_attribution/iter_1
